"date","RH","IXIC"
2015-10-21,0,0
2015-10-22,0,0.02
2015-10-23,-0.01,0.04
2015-10-26,0.02,0.04
2015-10-27,0.01,0.04
2015-10-28,0.04,0.05
2015-10-29,0.04,0.05
2015-10-30,0.05,0.04
2015-11-02,0.08,0.06
2015-11-03,0.08,0.06
2015-11-04,0.07,0.06
2015-11-05,0.07,0.06
2015-11-06,0.05,0.06
2015-11-09,0.04,0.05
2015-11-10,0.03,0.05
2015-11-11,0.03,0.05
2015-11-12,0.01,0.03
2015-11-13,-0.06,0.02
2015-11-16,-0.07,0.03
2015-11-17,-0.09,0.03
2015-11-18,-0.07,0.05
2015-11-19,-0.08,0.05
2015-11-20,-0.08,0.05
2015-11-23,-0.06,0.05
2015-11-24,-0.05,0.05
2015-11-25,-0.05,0.06
2015-11-27,-0.05,0.06
2015-11-30,-0.08,0.06
2015-12-01,-0.08,0.07
2015-12-02,-0.07,0.06
2015-12-03,-0.1,0.04
2015-12-04,-0.06,0.06
2015-12-07,-0.05,0.05
2015-12-08,-0.06,0.05
2015-12-09,-0.1,0.04
2015-12-10,-0.11,0.04
2015-12-11,-0.15,0.02
2015-12-14,-0.2,0.02
2015-12-15,-0.19,0.03
2015-12-16,-0.18,0.05
2015-12-17,-0.15,0.03
2015-12-18,-0.18,0.02
2015-12-21,-0.19,0.03
2015-12-22,-0.19,0.03
2015-12-23,-0.18,0.04
2015-12-24,-0.18,0.04
2015-12-28,-0.19,0.04
2015-12-29,-0.18,0.06
2015-12-30,-0.19,0.05
2015-12-31,-0.19,0.03
2016-01-04,-0.2,0.01
2016-01-05,-0.2,0.01
2016-01-06,-0.23,0
2016-01-07,-0.26,-0.03
2016-01-08,-0.29,-0.04
2016-01-11,-0.3,-0.04
2016-01-12,-0.3,-0.03
2016-01-13,-0.32,-0.06
2016-01-14,-0.36,-0.05
2016-01-15,-0.35,-0.07
2016-01-19,-0.36,-0.08
2016-01-20,-0.37,-0.08
2016-01-21,-0.37,-0.08
2016-01-22,-0.35,-0.05
2016-01-25,-0.38,-0.07
2016-01-26,-0.37,-0.06
2016-01-27,-0.37,-0.08
2016-01-28,-0.39,-0.07
2016-01-29,-0.37,-0.05
2016-02-01,-0.39,-0.05
2016-02-02,-0.43,-0.07
2016-02-03,-0.44,-0.07
2016-02-04,-0.43,-0.07
2016-02-05,-0.47,-0.1
2016-02-08,-0.48,-0.11
2016-02-09,-0.48,-0.12
2016-02-10,-0.5,-0.11
2016-02-11,-0.52,-0.12
2016-02-12,-0.52,-0.1
